,Company,Total,Employees,AnnualRevenue,BCGTop50,ForbesTop100
450,Maxsoft Pte Ltd,13,,,,
451,DIEBOLD NIXDORF SINGAPORE PTE. LTD.,13,,,,
452,Micepad,13,,,,
453,YOUZU (SINGAPORE) PTE. LTD.,13,,,,
454,NTT DATA BUSINESS SOLUTIONS SINGAPORE PTE. LTD.,13,,,,
455,Innovez One Pte Ltd,13,,,,
456,BMC Software Asia Pacific Pte Ltd,13,,,,
457,Thinking Notes,13,,,,
458,Dow Technologies and Sytems,13,,,,
459,GDC TECHNOLOGY PTE LTD,13,,,,
460,NEW ASURION SINGAPORE PTE. LTD.,13,,,,
461,IFSC PTE. LTD.,12,,,,
462,Comms Equipments Pte Ltd,12,,,,
463,Gaia Science Pte. Ltd.,12,,,,
464,SARMENT PTE. LTD.,12,,,,
465,Whyze Solutions Pte Ltd,12,,,,
466,TECHDIRECT P/L,12,,,,
467,Savant Degrees,12,,,,
468,3PlayGrounds,12,,,,
469,PHOENIX ONESOFT SINGAPORE PTE. LTD.,12,,,,
470,GLOBOTRON (S) PTE. LTD.,12,,,,
471,Azimuth Labs Pte Ltd,12,,,,
472,Archer Logic,12,,,,
473,ARETE M PTE. LTD.,12,,,,
474,Whatsapp,12,,,,
475,Hako Technology Pte Ltd,12,,,,
476,SILVERLINK TECHNOLOGIES PTE. LTD.,12,,,,
477,GE Digital,12,,,,
478,Denodo,12,,,,
479,Wyzchef,12,,,,
480,Institut D’Expertise Clinique Pte Ltd,12,,,,
481,STUTTGART AUTO PTE LTD,12,,,,
482,Infoblox,12,,,,
483,CyberArk,12,,,,
484,GPS Lands (S) Pte Ltd,12,,,,
485,DC FRONTIERS PTE. LTD.,12,,,,
486,Kenetics Innovations Pte Ltd,12,,,,
487,HORANGI PTE. LTD.,12,,,,
488,DETRACK SYSTEMS PTE. LTD.,12,,,,
489,Kedacom International Pte Ltd,12,,,,
490,ALTROCKS TECH PTE. LTD.,12,,,,
491,INCUBE8 PTE. LTD.,12,,,,
492,REVEL TECH (SG) HOLDINGS PTE. LTD.,12,,,,
493,ASTRATA GROUP PTE. LTD.,12,,,,
494,VEEV Interactive Pte Ltd,12,,,,
495,Elixir Technology Pte Ltd,12,,,,
496,ONESECURE Asia Pte Ltd,12,,,,
497,Verlocal,12,,,,
498,Motorola Solutions,12,,,,
499,ZILLIQA RESEARCH PTE. LTD.,12,,,,
500,Ishaan Informatics Pte Ltd,11,,,,
501,Eltek Power Pte Ltd,11,,,,
502,INVITROCUE PTE. LTD.,11,,,,
503,Dynamic Yield,11,,,,
504,CommScope Solutions Singapore Pte Ltd,11,,,,
505,ENVISION DIGITAL INTERNATIONAL PTE. LTD.,11,,,,
506,Intellisearch,11,,,,
507,01 Computer System Pte Ltd,11,,,,
508,Bizmann System (S) Pte Ltd,11,,,,
509,eBay,11,,,,
510,ASIAPAC DISTRIBUTION PTE LTD,11,,,,
511,AUTOSCAN TECHNOLOGY PTE LIMITED,11,,,,
512,Piktochart,11,,,,
513,Stanley Security Singapore Pte Ltd,11,,,,
514,AION Technologies Pte Ltd,11,,,,
515,AVIATION VIRTUAL PTE. LTD.,11,,,,
516,Propseller,11,,,,
517,CashShield,11,,,,
518,COMPEX SYSTEMS PTE LTD,11,,,,
519,CLAYOPS PTE. LTD.,11,,,,
520,AMPOTECH PTE. LTD.,11,,,,
521,BRIDGE MOBILE PTE. LTD.,11,,,,
